StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
08/01/2019 04.00	35.19.00	03.04	00.07	63.82	28.62	00.08
08/01/2019 03.00	36.75	03.18	00.08	64.75	28	00.08
08/01/2019 02.00	13.22	0,185416667	00.46	64.08.00	51.57.00	00.09
08/01/2019 01.00	34.87	03.18	00.07	64.05.00	29.18.00	00.08
08/01/2019 00.00	37.02.00	0,136805556	00.09	64.68	27.49.00	00.07
07/01/2019 23.00	36.08.00	04.05	00.07	64.14.00	28.06.00	00.09
07/01/2019 22.00	35.58.00	04.32	00.07	64.42.00	28.84	00.11
07/01/2019 21.00	36.03.00	0,136111111	00.08	64.86	28.56.00	00.08
07/01/2019 20.00	38.64	0,230555556	00.08	67.29.00	28.65	00.12
07/01/2019 19.00	37.39.00	04.31	00.07	66.15.00	28.76	00.09
07/01/2019 18.00	37.18.00	0,177083333	00.07	66.07.00	28.89	00.09
07/01/2019 17.00	38.36.00	0,189583333	00.08	67.36.00	28.99	00.09
07/01/2019 16.00	43.46.00	0,189583333	00.08	72.67	29.21.00	00.08
07/01/2019 15.00	44.16.00	04.13	00.08	73.26.00	29.01.00	00.08
07/01/2019 14.00	43.24.00	04.09	00.08	72.54.00	29.31.00	00.09
07/01/2019 13.00	43.59.00	0,209722222	00.07	73.19.00	29.61	00.08
07/01/2019 12.00	43.85	0,16875	00.07	73.32.00	29.48.00	00.09
07/01/2019 11.00	43.68	0,215972222	00.07	73.21.00	29.53.00	00.08
07/01/2019 10.00	43.82	03.41	00.07	73.36.00	29.54.00	00.09
07/01/2019 09.00	45.48.00	04.41	00.08	74.63	29.16.00	00.09
07/01/2019 08.00	45.01.00	05.02	00.08	73.78	28.69	00.08
07/01/2019 07.00	44.42.00	0,18125	00.09	73.05.00	28.63	00.09
07/01/2019 06.00	43.65	04.37	00.08	72.27.00	28.62	00.01
07/01/2019 05.00	42.74	04.55	00.08	71.25.00	28.51.00	00.08
07/01/2019 04.00	42.42.00	03.03	00.08	71.43.00	29.01.00	00.09
07/01/2019 03.00	44.62	04.38	00.08	73.38.00	28.75	00.09
07/01/2019 02.00	39.46.00	04.53	00.08	67.87	28.41.00	00.01
07/01/2019 01.00	37.86	0,185416667	00.07	67.08.00	29.23.00	00.01
07/01/2019 00.00	38.43.00	0,189583333	00.08	67.37.00	28.93	00.09
06/01/2019 23.00	42.51.00	04.06	00.11	68.67	26.15.00	00.09
06/01/2019 22.00	40.05.00	04.07	00.08	68.19.00	28.13.00	00.09
