StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
24/11/2018 14.00	40.09.00	0,183333333	00.08	69.91	29.81	00.08
24/11/2018 13.00	40.07.00	03.33	00.08	69.09.00	29.83	00.09
24/11/2018 12.00	40.34.00	04.26	00.08	70.02.00	29.87	00.09
24/11/2018 11.00	39.95	04.05	00.08	70.09.00	30.14.00	00.08
24/11/2018 10.00	42.98	03.52	00.07	73.12.00	30.13.00	00.08
24/11/2018 09.00	43.89	04.42	00.08	74.02.00	30.13.00	00.08
24/11/2018 08.00	44.14.00	0,18125	00.07	74.04.00	29.09.00	00.08
24/11/2018 07.00	43.35.00	03.36	00.08	72.66	29.31.00	00.09
24/11/2018 06.00	38.05.00	04.29	00.07	67.22.00	29.17.00	00.09
24/11/2018 05.00	35.78	03.06	00.09	66.12.00	30.34.00	00.09
24/11/2018 04.00	34.46.00	03.35	00.08	63.73	29.27.00	00.08
24/11/2018 03.00	36.31.00	03.15	00.08	65.55.00	29.24.00	00.09
24/11/2018 02.00	35	04.06	00.08	64.31.00	29.31.00	00.08
24/11/2018 01.00	37.93	0,186805556	00.07	68.05.00	30.12.00	00.08
24/11/2018 00.00	40.81	0,152083333	00.07	70.96	30.16.00	00.08
23/11/2018 23.00	40.97	0,19375	00.07	71.24.00	30.28.00	00.08
23/11/2018 22.00	41.11.00	0,177083333	00.07	71.27.00	30.16.00	00.08
23/11/2018 21.00	41.09.00	0,19375	00.07	71.02.00	30.11.00	00.08
23/11/2018 20.00	39.11.00	03.32	00.06	69.27.00	30.16.00	00.08
23/11/2018 19.00	35.85	0,139583333	00.07	66.13.00	30.28.00	00.08
23/11/2018 18.00	36.07.00	04.25	00.07	67.31.00	30.61	00.09
23/11/2018 17.00	37.06.00	0,177083333	00.07	67.17.00	29.58.00	00.09
23/11/2018 16.00	40.26.00	04.05	00.07	70.83	30.57.00	00.09
23/11/2018 15.00	42.41.00	04.38	00.09	71.24.00	28.83	00.09
23/11/2018 14.00	42.04.00	04.07	00.09	71.07.00	29.03.00	00.09
23/11/2018 13.00	39.78	0,191666667	00.11	67.15.00	27.36.00	00.09
23/11/2018 12.00	38.93	05.12	00.08	67.62	28.69	00.11
23/11/2018 11.00	38.42.00	04.09	00.08	67.57.00	29.15.00	00.09
23/11/2018 10.00	38.47.00	03.53	00.09	67.04.00	28.93	00.01
23/11/2018 09.00	37.78	04.33	00.08	67.09.00	30.11.00	00.09
23/11/2018 08.00	39.04.00	03.24	00.08	68.36.00	29.33.00	00.09
23/11/2018 07.00	38.05.00	04.03	00.08	67.36.00	29.31.00	00.09
23/11/2018 06.00	38.03.00	04.35	00.08	67.36.00	29.33.00	00.01
23/11/2018 05.00	37.62	04.08	00.09	67	29.38.00	00.09
23/11/2018 04.00	37.83	04.34	00.09	67.12.00	29.28.00	00.01
23/11/2018 03.00	36.93	03.08	00.09	66.05.00	29.12.00	00.01
23/11/2018 02.00	35.03.00	04.24	00.08	64.99	29.68	00.01
23/11/2018 01.00	36.36.00	04.48	00.09	65.52.00	29.17.00	00.01
23/11/2018 00.00	34.87	03.48	00.09	64.79	29.92	00.01
22/11/2018 23.00	35.72	0,218055556	00.09	65.67	29.95	00.11
22/11/2018 22.00	35.77	04.22	00.09	65.59.00	29.82	00.01
22/11/2018 21.00	38.32.00	0,179861111	00.01	67.51.00	29.02.00	00.01
22/11/2018 20.00	37.66	04.52	00.11	67.35.00	29.69	00.01
22/11/2018 19.00	37.91	05.43	00.09	68.24.00	30.33.00	00.12
22/11/2018 18.00	38.12.00	05.16	00.32	67.75	29.63	00.12
22/11/2018 17.00	38.91	0,227083333	00.09	67.49.00	28.58.00	00.11
22/11/2018 16.00	37.73	0,190972222	00.08	66.87	29.14.00	00.09
22/11/2018 15.00	37.81	04.34	00.08	67.15.00	29.34.00	00.01
22/11/2018 14.00	38.53.00	03.46	00.08	67.63	29.01.00	00.09
22/11/2018 13.00	38.59.00	04.49	00.09	67.66	29.07.00	00.09
22/11/2018 12.00	38.93	0,179166667	00.09	68.07.00	29.14.00	00.09
22/11/2018 11.00	38.69	04.32	00.09	68.08.00	29.39.00	00.01
22/11/2018 10.00	38.44.00	04.13	00.09	67.98	29.53.00	00.01
22/11/2018 09.00	38.06.00	04.47	00.09	67.07.00	29.64	00.01
22/11/2018 08.00	37.87	04.03	00.09	67.57.00	29.69	00.01
22/11/2018 07.00	37.02.00	0,183333333	00.09	66.96	29.94	00.01
22/11/2018 06.00	35.76	04.29	00.01	66.91	31.14.00	00.01
22/11/2018 05.00	36.58.00	04.56	00.01	66.56.00	29.99	00.01
22/11/2018 04.00	31.56.00	0,192361111	00.13	67.68	36.12.00	00.12
22/11/2018 03.00	22.14	06.09	00.12	68.03.00	46.15.00	00.33
22/11/2018 02.00	35.28.00	03.07	00.07	64.25.00	28.97	00.08
22/11/2018 01.00	35.93	0,190277778	00.07	64.51.00	28.59.00	00.08
22/11/2018 00.00	35.27.00	02.57	00.07	64.04.00	29.13.00	00.09
21/11/2018 23.00	37.88	04.01	00.09	65.07.00	27.82	00.08
21/11/2018 22.00	36.65	03.27	00.07	65.63	28.98	00.09
21/11/2018 21.00	37.91	0,189583333	00.09	66.03.00	28.12.00	00.09
21/11/2018 20.00	37.42.00	03.15	00.07	66.46.00	29.04.00	00.08
21/11/2018 19.00	37.05.00	0,151388889	00.07	66.82	29.32.00	00.08
21/11/2018 18.00	37.53.00	0,18125	00.07	66.59.00	29.07.00	00.01
21/11/2018 17.00	37.98	0,169444444	00.07	67.03.00	29.32.00	00.08
21/11/2018 16.00	38.38.00	04.02	00.07	67.32.00	28.94	00.08
21/11/2018 15.00	38.64	03.15	00.07	68.17.00	29.54.00	00.08
21/11/2018 14.00	40.35.00	04.36	00.09	68.57.00	28.22.00	00.08
21/11/2018 13.00	38.69	03.24	00.07	68.34.00	29.65	00.09
21/11/2018 12.00	38.73	03.59	00.08	68.23.00	29.05.00	00.09
21/11/2018 11.00	38.73	04.05	00.08	68.09.00	29.36.00	00.08
21/11/2018 10.00	38.18.00	0,176388889	00.07	67.84	29.66	00.08
21/11/2018 09.00	38.08.00	03.22	00.07	68.16.00	29.36.00	00.09
21/11/2018 08.00	38.45.00	0,179166667	00.08	67.78	29.34.00	00.08
21/11/2018 07.00	36.52.00	0,223611111	00.07	66.09.00	30.38.00	00.11
21/11/2018 06.00	37.42.00	03.29	00.07	66.54.00	29.12.00	00.09
21/11/2018 05.00	38.01.00	0,15	00.07	66.58.00	28.57.00	00.08
21/11/2018 04.00	36.82	03.14	00.07	65.59.00	28.77	00.07
21/11/2018 03.00	37.19.00	03.52	00.07	65.44.00	28.25.00	00.08
21/11/2018 02.00	36.48.00	0,139583333	00.07	65.15.00	28.67	00.08
21/11/2018 01.00	35.95	03.05	00.08	64.27.00	28.31.00	00.09
21/11/2018 00.00	35.17.00	4	00.07	64.19.00	29.01.00	00.08
20/11/2018 23.00	36.42.00	0,147222222	00.08	65	28.58.00	00.08
20/11/2018 22.00	36.64	05.01	00.09	65.95	29.31.00	00.13
20/11/2018 21.00	32.11.00	4	00.52	66.82	34.72	00.09
20/11/2018 20.00	35.82	0,190972222	00.21	66.26.00	30.44.00	00.09
20/11/2018 19.00	37.32.00	03.22	00.08	65.64	28.32.00	00.08
20/11/2018 18.00	36.98	0,171527778	00.07	65.78	28.08.00	00.08
20/11/2018 17.00	38.82	03.54	00.09	66.74	27.93	00.09
20/11/2018 16.00	38.05.00	0,176388889	00.07	66.62	28.12.00	00.08
20/11/2018 15.00	41.66	03.09	00.01	68.61	26.95	00.09
20/11/2018 14.00	38.68	03.14	00.07	67.28.00	28.61	00.08
20/11/2018 13.00	39.97	0,167361111	00.08	67.78	27.82	00.08
20/11/2018 12.00	38.82	03.44	00.07	67.46.00	28.65	00.08
20/11/2018 11.00	40.13.00	0,215972222	00.09	68.01.00	27.88	00.01
20/11/2018 10.00	39.12.00	0,172916667	00.07	67.69	28.57.00	00.09
20/11/2018 09.00	38.07.00	03.07	00.07	66.89	28.81	00.07
20/11/2018 08.00	37.82	03.18	00.07	66.57.00	28.74	00.08
20/11/2018 07.00	37.72	0,177083333	00.07	66.51.00	28.78	00.08
20/11/2018 06.00	37.85	03.32	00.07	66.74	28.09.00	00.08
20/11/2018 05.00	37.52.00	0,147916667	00.07	66.08.00	29.28.00	00.09
20/11/2018 04.00	36.91	0,169444444	00.07	65.59.00	28.68	00.08
20/11/2018 03.00	36.83	03.44	00.07	65.65	28.81	00.08
20/11/2018 02.00	36.53.00	0,152083333	00.07	65.18.00	28.65	00.08
20/11/2018 01.00	36.73	0,18125	00.07	65.84	29.11.00	00.09
20/11/2018 00.00	36.33.00	0,149305556	00.07	64.97	28.64	00.08
19/11/2018 23.00	36.41.00	03.02	00.07	65.32.00	28.92	00.08
19/11/2018 22.00	36.71	03.08	00.07	65.46.00	28.76	00.08
19/11/2018 21.00	37.42.00	03.48	00.07	66.03.00	28.88	00.09
19/11/2018 20.00	37.87	04.29	00.07	66.27.00	28.04.00	00.09
19/11/2018 19.00	38.46.00	02.09	00.07	67.37.00	28.91	00.08
19/11/2018 18.00	37.37.00	03.19	00.06	66.61	29.24.00	00.09
19/11/2018 17.00	37.44.00	0,139583333	00.07	66.85	29.41.00	00.07
19/11/2018 16.00	37.08.00	03.09	00.06	66.86	29.78	00.08
19/11/2018 15.00	39.05.00	4	00.06	69.34.00	29.84	00.01
19/11/2018 14.00	38.59.00	0,14375	00.06	68.01.00	29.41.00	00.08
19/11/2018 13.00	37.58.00	03.02	00.05	66.98	29.04.00	00.06
19/11/2018 12.00	38.67	04.03	00.06	67.94	29.27.00	00.08
19/11/2018 11.00	38.61	03.28	00.07	68.02.00	29.59.00	00.09
19/11/2018 10.00	38.11.00	3	00.07	67.17.00	29.06.00	00.07
19/11/2018 09.00	39.42.00	03.12	00.07	69.08.00	29.66	00.08
19/11/2018 08.00	37.12.00	0,141666667	00.07	66.21.00	29.09.00	00.07
19/11/2018 07.00	34.55.00	03.02	00.06	64.71	30.15.00	00.07
19/11/2018 06.00	39.18.00	03.04	00.06	69.28.00	30.11.00	00.07
19/11/2018 05.00	39.44.00	0,144444444	00.06	69.93	30.49.00	00.07
19/11/2018 04.00	41.77	04.03	00.07	70.96	29.18.00	00.07
19/11/2018 03.00	39.57.00	0,143055556	00.06	69.39.00	29.81	00.08
19/11/2018 02.00	36.71	03.05	00.07	65.04.00	28.69	00.08
19/11/2018 01.00	34.56.00	02.05	00.06	64.32.00	29.76	00.06
19/11/2018 00.00	37.02.00	03.09	00.07	65.64	28.62	00.09
18/11/2018 23.00	34.94	0,139583333	00.06	64.57.00	29.63	00.07
18/11/2018 22.00	33.77	03.24	00.06	63.65	29.88	00.09
18/11/2018 21.00	34.67	0,145138889	00.06	64.48.00	29.82	00.07
18/11/2018 20.00	35.05.00	0,213888889	00.07	64.97	29.47.00	00.11
18/11/2018 19.00	34.52.00	03.45	00.07	63.93	29.41.00	00.08
18/11/2018 18.00	35.73	03.07	00.07	64.21.00	28.48.00	00.08
18/11/2018 17.00	37.27.00	0,192361111	00.06	66.24.00	28.97	00.11
18/11/2018 16.00	35.84	03.58	00.06	64.64	28.81	00.09
18/11/2018 15.00	38.78	03.03	00.05	65.75	26.97	00.08
18/11/2018 14.00	37.07.00	03.15	00.04	64.19.00	27.12.00	00.06
18/11/2018 13.00	39.91	0,219444444	00.04	67.04.00	27.13.00	00.11
18/11/2018 12.00	36.61	0,143055556	00.07	65.26.00	28.64	00.08
18/11/2018 11.00	37.69	03.52	00.08	65.85	28.16.00	00.08
18/11/2018 10.00	37.14.00	0,143055556	00.07	66.21.00	29.06.00	00.08
18/11/2018 09.00	38.17.00	03.58	00.07	66.91	28.74	00.08
18/11/2018 08.00	37.57.00	0,167361111	00.07	66.93	29.36.00	00.08
18/11/2018 07.00	37.96	0,152083333	00.07	66.79	28.83	00.08
18/11/2018 06.00	37.01.00	0,177083333	00.07	65.63	28.53.00	00.08
18/11/2018 05.00	35.97	03.21	00.07	64.43.00	28.46.00	00.08
18/11/2018 04.00	36.54.00	0,15	00.07	65.14.00	28.06.00	00.09
18/11/2018 03.00	36.02.00	03.33	00.07	64.09.00	28.89	00.07
18/11/2018 02.00	36.79	0,135416667	00.07	65.31.00	28.52.00	00.08
18/11/2018 01.00	36.28.00	0,184027778	00.07	65.12.00	28.84	00.08
18/11/2018 00.00	36.64	0,129166667	00.07	65.44.00	28.08.00	00.08
17/11/2018 23.00	36.81	0,186805556	00.07	65.63	28.82	00.08
17/11/2018 22.00	36.71	03.41	00.07	65.53.00	28.82	00.08
17/11/2018 21.00	36.63	3	00.07	65.54.00	28.91	00.07
17/11/2018 20.00	34.86	03.23	00.15	66.92	32.06.00	00.09
17/11/2018 19.00	37.83	03.48	00.07	66.78	28.96	00.08
17/11/2018 18.00	38.39.00	0,175694444	00.07	67.45.00	29.06.00	00.08
17/11/2018 17.00	38.06.00	03.07	00.07	67.26.00	28.66	00.09
17/11/2018 16.00	37.68	04.01	00.07	66.24.00	28.56.00	00.08
17/11/2018 15.00	40.53.00	0,213888889	00.08	68.07.00	28.17.00	00.11
17/11/2018 14.00	38.58.00	03.32	00.08	67.09.00	28.05.00	00.09
17/11/2018 13.00	37.72	0,188194444	00.07	66.55.00	28.82	00.09
17/11/2018 12.00	37.68	04.05	00.08	66.23.00	28.55.00	00.09
17/11/2018 11.00	38.96	03.53	00.07	67.81	28.84	00.09
17/11/2018 10.00	38.09.00	03.48	00.07	67.16.00	28.26.00	00.09
17/11/2018 09.00	37.76	03.04	00.07	66.48.00	28.72	00.07
17/11/2018 08.00	37.05.00	03.53	00.07	66.24.00	28.74	00.08
17/11/2018 07.00	36.77	03.43	00.07	65.67	28.09.00	00.07
17/11/2018 06.00	37.01.00	0,143055556	00.07	66.01.00	29	00.08
17/11/2018 05.00	37.07.00	03.08	00.06	66.49.00	29.43.00	00.08
17/11/2018 04.00	36.22.00	0,13125	00.06	65.42.00	29.02.00	00.07
17/11/2018 03.00	35.32.00	02.55	00.06	64.76	29.44.00	00.07
17/11/2018 02.00	35.16.00	03.21	00.06	65.41.00	30.25.00	00.07
17/11/2018 01.00	35.57.00	0,129166667	00.06	65.17.00	29.61	00.08
17/11/2018 00.00	34.74	0,146527778	00.06	64.04.00	29.66	00.07
16/11/2018 23.00	35.59.00	02.07	00.07	64.68	29.09.00	00.07
16/11/2018 22.00	34.31.00	02.56	00.06	64.18.00	29.87	00.08
16/11/2018 21.00	35.36.00	0,25625	00.07	65.07.00	29.71	00.12
16/11/2018 20.00	34.81	0,225	00.07	64.36.00	29.55.00	00.13
16/11/2018 19.00	35.12.00	0,148611111	00.06	64.54.00	29.42.00	00.07
16/11/2018 18.00	35.53.00	02.11	00.06	65.42.00	29.89	00.07
16/11/2018 17.00	35.19.00	0,151388889	00.06	64.97	29.78	00.07
16/11/2018 16.00	33.51.00	02.58	00.06	65.37.00	31.86	00.07
16/11/2018 15.00	34.83	03.58	00.06	65.08.00	30.97	00.01
16/11/2018 14.00	35.65	03.33	00.06	65.75	30.01.00	00.07
16/11/2018 13.00	36.08.00	02.06	00.06	66.11.00	30.03.00	00.07
16/11/2018 12.00	35.75	0,13125	00.06	65.05.00	29.75	00.07
16/11/2018 11.00	35.29.00	03.37	00.06	65.08.00	29.08.00	00.07
16/11/2018 10.00	36.12.00	02.09	00.06	65.82	29.07.00	00.08
16/11/2018 09.00	35.82	03.11	00.06	65.05.00	29.68	00.07
16/11/2018 08.00	36.58.00	02.23	00.06	66.23.00	29.65	00.07
16/11/2018 07.00	35.85	0,14375	00.06	65.67	29.82	00.08
16/11/2018 06.00	35.88	3	00.06	65.04.00	29.52.00	00.08
16/11/2018 05.00	35.68	03.34	00.06	65.55.00	29.87	00.07
16/11/2018 04.00	36.19.00	02.29	00.06	66.17.00	29.98	00.06
16/11/2018 03.00	34.46.00	03.07	00.06	65.47.00	31.01.00	00.08
16/11/2018 02.00	34.46.00	02.07	00.06	64.71	30.25.00	00.06
16/11/2018 01.00	34.37.00	03.04	00.06	65.19.00	30.82	00.09
16/11/2018 00.00	33.43.00	03.53	00.08	65.94	32.51.00	00.01
15/11/2018 23.00	34.29.00	0,172222222	00.06	64.93	30.65	00.08
15/11/2018 22.00	35.91	03.08	00.06	65.57.00	29.67	00.09
15/11/2018 21.00	33.92	03.01	00.05	63.98	30.06.00	00.07
15/11/2018 20.00	34.02.00	0,136805556	00.06	64.28.00	30.25.00	00.08
15/11/2018 19.00	33.85	03.02	00.06	64.01.00	30.24.00	00.08
15/11/2018 18.00	34.87	03.48	00.06	65.15.00	30.27.00	00.08
15/11/2018 17.00	35.34.00	02.06	00.06	64.88	29.53.00	00.08
15/11/2018 16.00	33.39.00	0,1375	00.06	62.96	29.57.00	00.08
15/11/2018 15.00	32.04.00	0,127083333	00.06	61.75	29.72	00.08
15/11/2018 14.00	32.97	02.16	00.07	62.14.00	29.17.00	00.06
15/11/2018 13.00	33.61	0,179166667	00.06	63.89	30.28.00	00.01
15/11/2018 12.00	25.74	0,142361111	00.35	63.36.00	37.61	00.08
15/11/2018 11.00	33.38.00	0,138194444	00.12	64.89	31.51.00	00.07
15/11/2018 10.00	35.32.00	0,149305556	00.06	65.03.00	29.98	00.07
15/11/2018 09.00	34.41.00	0,14375	00.06	64.39.00	29.98	00.07
15/11/2018 08.00	35.35.00	02.03	00.06	65.26.00	29.91	00.07
15/11/2018 07.00	35.01.00	0,149305556	00.06	65.03.00	29.93	00.08
15/11/2018 06.00	34.01.00	03.03	00.06	64.13.00	30.03.00	00.07
15/11/2018 05.00	34.99	02.05	00.06	65.14.00	30.15.00	00.07
15/11/2018 04.00	31.57.00	02.52	00.06	65.07.00	34.13.00	00.07
15/11/2018 03.00	34.59.00	0,149305556	00.06	64.47.00	29.88	00.07
15/11/2018 02.00	34.86	0,128472222	00.06	64.69	29.83	00.07
15/11/2018 01.00	32.76	02.38	00.06	62.97	30.21.00	00.07
15/11/2018 00.00	32.57.00	02.08	00.06	62.06.00	30.03.00	00.06
14/11/2018 23.00	34.56.00	0,149305556	00.06	65.01.00	30.53.00	00.07
14/11/2018 22.00	35.02.00	0,107638889	00.06	65.04.00	30.38.00	00.07
14/11/2018 21.00	34.08.00	02.09	00.06	65.15.00	30.36.00	00.07
14/11/2018 20.00	35.33.00	03.12	00.06	65.39.00	30.05.00	00.06
14/11/2018 19.00	33.94	02.03	00.05	65.12.00	31.18.00	00.07
14/11/2018 18.00	34.98	0,139583333	00.06	65.48.00	30.05.00	00.07
14/11/2018 17.00	36.19.00	03.09	00.06	66.26.00	30.07.00	00.07
14/11/2018 16.00	35.31.00	3	00.06	65.61	30.03.00	00.07
14/11/2018 15.00	35.33.00	02.15	00.06	65.69	30.36.00	00.07
14/11/2018 14.00	35.31.00	3	00.06	65.49.00	30.19.00	00.07
14/11/2018 13.00	35.13.00	03.02	00.06	65.47.00	30.35.00	00.07
14/11/2018 12.00	36.78	0,128472222	00.06	66.87	30.09.00	00.07
14/11/2018 11.00	34.81	0,151388889	00.06	64.93	30.12.00	00.07
14/11/2018 10.00	34.08.00	0,14375	00.06	63.77	29.69	00.08
14/11/2018 09.00	34.08.00	02.33	00.06	64.47.00	29.67	00.07
14/11/2018 08.00	35.59.00	03.17	00.06	65.12.00	29.53.00	00.07
14/11/2018 07.00	34.86	02.57	00.06	64.05.00	29.64	00.07
14/11/2018 06.00	34.86	02.04	00.06	64.67	29.81	00.07
14/11/2018 05.00	34.48.00	0,143055556	00.06	64.39.00	29.09.00	00.07
14/11/2018 04.00	34.18.00	3	00.06	63.96	29.78	00.08
14/11/2018 03.00	32.58.00	2	00.06	62.04.00	29.82	00.07
14/11/2018 02.00	33.04.00	03.01	00.06	63.03.00	29.99	00.06
14/11/2018 01.00	34	3	00.06	64.07.00	30.07.00	00.07
14/11/2018 00.00	33.24.00	02.19	00.06	64.09.00	31.66	00.07
13/11/2018 23.00	35.78	04.41	00.06	66.08.00	30.03.00	00.01
13/11/2018 22.00	34.03.00	02.39	00.06	64.02.00	29.09.00	00.08
13/11/2018 21.00	34.67	0,143055556	00.06	64.48.00	29.81	00.07
13/11/2018 20.00	35.68	03.22	00.06	65.45.00	29.77	00.08
13/11/2018 19.00	37.19.00	03.53	00.08	67.38.00	30.19.00	00.01
13/11/2018 18.00	37.15.00	04.54	00.07	67.14.00	29.99	00.01
13/11/2018 17.00	37.14.00	0,169444444	00.06	67.67	30.54.00	00.09
13/11/2018 16.00	38.03.00	03.24	00.07	67.75	29.45.00	00.08
13/11/2018 15.00	32.18.00	0,098611111	00.07	62.04.00	30.22.00	00.06
13/11/2018 14.00	33.26.00	03.16	00.06	63.43.00	30.16.00	00.08
13/11/2018 13.00	33.87	02.09	00.06	64.28.00	30.41.00	00.06
13/11/2018 12.00	34.86	0,141666667	00.06	65.45.00	30.59.00	00.08
13/11/2018 11.00	34.04.00	02.02	00.06	64.59.00	30.55.00	00.06
13/11/2018 10.00	34.44.00	03.13	00.06	64.66	30.22.00	00.07
13/11/2018 09.00	34.16.00	0,136805556	00.06	64.67	30.51.00	00.06
13/11/2018 08.00	35.66	02.24	00.06	65.74	30.09.00	00.07
13/11/2018 07.00	34.53.00	02.09	00.06	65.07.00	30.55.00	00.07
13/11/2018 06.00	34.87	0,102777778	00.06	65.09.00	30.22.00	00.07
13/11/2018 05.00	34.11.00	03.13	00.06	64.33.00	30.22.00	00.06
13/11/2018 04.00	33.03.00	0,109027778	00.06	63.45.00	30.42.00	00.07
13/11/2018 03.00	32.01.00	02.12	00.05	62.69	30.59.00	00.06
13/11/2018 02.00	33.87	0,143055556	00.06	64.27.00	30.04.00	00.08
13/11/2018 01.00	32.62	03.02	00.06	62.98	30.36.00	00.07
13/11/2018 00.00	33.02.00	2	00.06	63.09.00	30.07.00	00.07
12/11/2018 23.00	33.03.00	02.08	00.05	63.45.00	30.41.00	00.07
12/11/2018 22.00	32.34.00	0,146527778	00.06	62.81	30.47.00	00.07
12/11/2018 21.00	33.23.00	03.14	00.06	63.93	30.07.00	00.08
12/11/2018 20.00	33.15.00	02.09	00.06	63.84	30.69	00.07
12/11/2018 19.00	32.61	2	00.05	63.06.00	30.99	00.06
12/11/2018 18.00	32.97	0,107638889	00.06	63.58.00	30.61	00.07
12/11/2018 17.00	32.79	02.57	00.06	63.64	30.85	00.06
12/11/2018 16.00	33.44.00	02.35	00.06	64.23.00	30.79	00.07
12/11/2018 15.00	32.59.00	0,130555556	00.06	63.48.00	30.89	00.07
12/11/2018 14.00	32.08.00	02.46	00.07	63.42.00	31.35.00	00.06
12/11/2018 13.00	33.03.00	02.09	00.06	64.12.00	31.09.00	00.06
12/11/2018 12.00	32.81	0,144444444	00.06	63.57.00	30.76	00.07
12/11/2018 11.00	32.87	02.06	00.06	63.05.00	30.64	00.06
12/11/2018 10.00	33.09.00	2	00.06	63.72	30.63	00.07
12/11/2018 09.00	34.17.00	0,125694444	00.06	64.86	30.69	00.06
12/11/2018 08.00	34.42.00	02.22	00.05	65.29.00	30.87	00.06
12/11/2018 07.00	34.32.00	02.49	00.06	65.06.00	30.74	00.07
12/11/2018 06.00	33.07.00	0,134027778	00.05	63.84	30.77	00.06
12/11/2018 05.00	33.03.00	02.22	00.05	64.06.00	30.76	00.06
12/11/2018 04.00	32.08.00	02.39	00.05	63.72	30.92	00.07
12/11/2018 03.00	32.55.00	02.01	00.06	63.07.00	30.52.00	00.06
12/11/2018 02.00	32.56.00	02.26	00.05	63.06.00	30.05.00	00.07
12/11/2018 01.00	30.49.00	02.03	00.05	61.71	31.21.00	00.05
12/11/2018 00.00	34.28.00	02.03	00.06	64.07.00	29.79	00.07
11/11/2018 23.00	28.42.00	02.12	00.05	62.44.00	34.02.00	00.06
11/11/2018 22.00	19.02	0,179166667	00.09	65.45.00	46.42.00	00.13
11/11/2018 21.00	31.02.00	0,106944444	00.05	62.79	31.59.00	00.06
11/11/2018 20.00	31.58.00	02.09	00.05	63.14.00	31.56.00	00.05
11/11/2018 19.00	32.96	0,088194444	00.05	63.58.00	30.61	00.06
11/11/2018 18.00	34.49.00	02.43	00.19	65.24.00	30.76	00.06
11/11/2018 17.00	34.01.00	02.22	00.04	62.43.00	28.34.00	00.05
11/11/2018 16.00	33.27.00	0,10625	00.03	62.05.00	28.78	00.04
11/11/2018 15.00	32.86	01.07	00.03	62.34.00	29.47.00	00.04
11/11/2018 14.00	35.23.00	03.13	00.22	66.49.00	31.26.00	00.08
11/11/2018 13.00	32.59.00	2	00.05	64.07.00	32.11.00	00.06
11/11/2018 12.00	33.77	02.07	00.05	65.29.00	31.51.00	00.06
11/11/2018 11.00	34.77	0,147222222	00.05	66.17.00	31.04.00	00.08
11/11/2018 10.00	32.78	0,100694444	00.05	63.82	31.04.00	00.06
11/11/2018 09.00	33.26.00	03.03	00.05	64.23.00	30.97	00.06
11/11/2018 08.00	32.99	02.13	00.05	64.01.00	31.02.00	00.06
11/11/2018 07.00	31.65	0,10625	00.05	64	32.35.00	00.06
11/11/2018 06.00	32.32.00	0,089583333	00.05	63.61	31.29.00	00.06
11/11/2018 05.00	31.15.00	02.44	00.05	63.06.00	32.45.00	00.06
11/11/2018 04.00	31.77	0,172916667	00.05	64.75	32.98	00.11
11/11/2018 03.00	30.97	02.25	00.05	63.49.00	32.53.00	00.06
11/11/2018 02.00	31.66	0,104861111	00.05	61.83	30.16.00	00.07
11/11/2018 01.00	33.05.00	02.16	00.05	63.55.00	30.05.00	00.06
11/11/2018 00.00	33.52.00	0,143055556	00.05	62.79	29.27.00	00.06
10/11/2018 23.00	34.39.00	01.11	00.04	63.11.00	28.71	00.05
10/11/2018 22.00	34.37.00	02.01	00.04	63.09.00	28.71	00.04
10/11/2018 21.00	33.38.00	0,189583333	00.04	63.03.00	29.92	00.09
10/11/2018 20.00	36.37.00	02.09	00.04	66.79	30.42.00	00.08
10/11/2018 19.00	32.81	02.05	00.05	64.32.00	31.51.00	00.07
10/11/2018 18.00	33.88	02.09	00.05	65.71	31.82	00.07
10/11/2018 17.00	33.16.00	02.09	00.05	64.84	31.68	00.08
10/11/2018 16.00	33.08.00	03.15	00.05	64.41.00	30.61	00.07
10/11/2018 15.00	33.88	0,149305556	00.05	64.06.00	30.72	00.09
10/11/2018 14.00	33.86	03.02	00.06	64.51.00	30.65	00.08
10/11/2018 13.00	35.13.00	05.04	00.06	66.66	31.52.00	00.13
10/11/2018 12.00	33.63	04.41	00.06	64.46.00	30.83	00.11
10/11/2018 11.00	32.36.00	02.02	00.05	63.48.00	31.12.00	00.06
10/11/2018 10.00	32.64	02.34	00.05	63.07.00	31.06.00	00.06
10/11/2018 09.00	32.91	0,102777778	00.05	64.06.00	31.14.00	00.07
10/11/2018 08.00	32.68	02.19	00.05	63.62	30.95	00.06
10/11/2018 07.00	32.13.00	0,106944444	00.05	63.36.00	31.24.00	00.06
10/11/2018 06.00	31.12.00	02.06	00.05	63.71	32.59.00	00.06
10/11/2018 05.00	32.19.00	2	00.05	63.42.00	31.23.00	00.06
10/11/2018 04.00	32.67	0,125694444	00.05	63.72	31.05.00	00.05
10/11/2018 03.00	32.38.00	01.45	00.04	62.87	30.05.00	00.05
10/11/2018 02.00	33.55.00	0,140972222	00.04	63.73	30.17.00	00.07
10/11/2018 01.00	33.28.00	01.12	00.04	63.21.00	29.93	00.05
10/11/2018 00.00	32.45.00	2	00.04	62.77	30.33.00	00.06
09/11/2018 23.00	33.25.00	02.01	00.05	63.66	30.42.00	00.06
09/11/2018 22.00	32.73	0,145138889	00.04	63.38.00	30.65	00.07
09/11/2018 21.00	32.27.00	02.15	00.04	63.16.00	30.89	00.06
09/11/2018 20.00	33.21.00	0,136805556	00.04	65.33.00	32.12.00	00.06
